Text,Language
"Directmedia продала 30 000 дисков по 9,90 € каждый.",Russian
В декабре того же года появилось третье издание.,Russian
"В него вошли DVD (300 000 статей и 100 000 изображений) и книга объёмом 139 страниц, в которой рассказывалось, что такое Википедия, а также излагались её история и основные правила.",Russian
"Диск и книга были изданы компанией Zenodot Verlagsgesellschaft mbH и продавались по той же цене, что и предыдущее издание.",Russian
Диск можно было бесплатно скачать в Интернете.,Russian
"В январе 2006 года Zenodot анонсировала выпуск печатного издания Википедии в 100 томах, по 800 страниц каждый.",Russian
Последний том планировалось выпустить в 2010 году.,Russian
"Позже было объявлено, что проект заморожен[98].",Russian
В декабре 2006 года был создан обновлённый образ диска.,Russian
"DVD не издавался, но доступен для скачивания с сайта dvd.wikimedia.org.",Russian
"DVD-диск с английской Википедией, содержащий 1964 статьи по основным темам, был выпущен в сотрудничестве с компанией Linterweb в январе 2007 года и обозначен как версия 0.5.",Russian
"В качестве оболочки использовалась среда Kiwix, программное обеспечение с открытым исходным кодом, специально написанное для данного издания.",Russian
В данный момент ведётся подготовка версий 0.7 и 1.0.,Russian
Последним на данный момент[когда?],Russian
был издан DVD польского раздела.,Russian
Его выпустило издательство Helion в конце июля 2007 года.,Russian
"Работа над изданием велась более года, на основе дампа от 4 июня 2006 года.",Russian
"База статей, имевшихся на тот момент, была скопирована на отдельный сервер, и их дорабатывали 13 оплачиваемых редакторов и около 20 добровольцев.",Russian
В итоге на диск вошло около 239 000 статей и 59 000 изображений.,Russian
Стоимость диска на момент выпуска составляла 39 злотых[99][100].,Russian
В 2009 году художник Роб Мэттьюс (англ.,Russian
Rob Matthews) распечатал избранные статьи английского раздела Википедии на 5000 страниц и сшил их в книгу с твёрдым переплётом.,Russian
Как он написал в пояснении к этому проекту: Воспроизведение Википедии в ущербной физической форме помогает легче ставить под сомнение разумность её использования.,Russian
В 2010 году английский писатель Джеймс Брайдл (англ.,Russian
"James Bridle) выпустил в единственном экземпляре двенадцатитомное издание объёмом 7000 страниц, озаглавленное «Иракская война: Историография изменений в Википедии», в котором отображена каждая правка в англоязычной статье про Иракскую войну с декабря 2004 года по ноябрь 2009 года[102].",Russian
"В дополнение к логистическому росту количества статей[103], Википедия неуклонно приобретала статус общего справочного сайта с момента её создания в 2001 году[104].",Russian
"На май 2018 года, согласно Alexa, Википедия занимала 5-е место среди самых посещаемых сайтов в мире[11], в Рунете — 9-е место[105].",Russian
В первой десятке Википедия является единственным некоммерческим сайтом.,Russian
Рост Википедии был вызван её доминирующей позицией в результатах поиска Google[106].,Russian
"Около 50 % трафика с поисковых систем в Википедию пришло с Google[107], большая часть этого трафика связана с научными исследованиями[108].",Russian
"В апреле 2007 года проектом Pew Internet & American Life Project было установлено, что треть американских интернет-пользователей консультируются с Википедией[109].",Russian
"По оценкам на октябрь 2006 года, сайт имел гипотетическую рыночную стоимость в 580 млн долларов, если бы он запустил рекламу.",Russian
"Википедия используется в образовательном процессе[110], научных исследованиях, книгах, конференциях, при отправлении правосудия[111][112], а также в работе различных министерств и ведомств.",Russian
"Так, сайт Парламента Канады ссылался на статью Википедии об однополых браках в разделе «Ссылки по теме» в списке «читать далее».",Russian
"Утверждения энциклопедии всё чаще используются в качестве источника такими организациями, как Федеральный суд США и Всемирная организация интеллектуальной собственности[113][неавторитетный источник?]",Russian
"— хотя в основном в качестве поддерживающей информации, а не информации, имеющей решающее значение для дела[114].",Russian
Содержание Википедии было цитировано в качестве источника и ссылки в некоторых докладах Разведывательного ведомства США[115].,Russian
"В 2013 году венгерские учёные показали, что с помощью Википедии можно предсказывать популярность и кассовые сборы фильмов, ещё не вышедших в прокат[116][117].",Russian
"Википедия была также использована в качестве источника в журналистике[118], иногда без указания авторства, а также несколько журналистов были уволены за плагиат из Википедии[119][120][121].",Russian
В июле 2007 года Википедии был посвящён 30-минутный документальный фильм на BBC Radio 4[122].,Russian
"Он утверждал, что количество ссылок на Википедию в популярной культуре таково, что этот термин является одним из группы избранных существительных XXI века, которые так узнаваемы (Google, Facebook, YouTube), что они больше не нуждаются в объяснениях и находятся на одном уровне с такими терминами XX века, как Hoovering или Coke.",Russian
"Существует много пародий на открытость Википедии с персонажами, вандализирующими или изменяющими статьи онлайн-энциклопедии.",Russian
"Примечательно, что комик Стивен Колберт пародировал Википедию или ссылался на Википедию в многочисленных эпизодах его шоу The Colbert Report и придумал соответствующий термин «wikiality»[123].",Russian
"Помимо выполнения функции энциклопедического справочника, Википедия стала главным объектом внимания СМИ как сетевой источник последних новостей[124][125].",Russian
"Когда популярный американский еженедельник Time признал некоего абстрактного представителя миллионов вкладчиков пользовательского контента в различные сайты, носящего обобщённое имя «ты», «Человеком года — 2006», тем самым отмечая ускоряющийся успех онлайн-сотрудничества и взаимодействия миллионов интернет-пользователей по всему миру, Википедия была наиболее часто упоминающимся проектом Веб 2.0, за которым следовали проекты YouTube и MySpace[126].",Russian
Википедия также создала формы воздействия на средства массовой информации (СМИ).,Russian
"Некоторые СМИ высмеивают восприимчивость Википедии к вставкам неточностей — например, статья на первой странице в The Onion в июле 2006 года под названием «„Википедия“ празднует 750 лет американской независимости»[127].",Russian
"Другие могут опираться на утверждение Википедии о том, что любой может править, — например «The Negotiation», эпизод сериала «Офис», где персонаж Майкл Скотт заявил: «„Википедия“ — лучшая вещь на свете.",Russian
"Любой в мире может написать всё, что хочет, по любому предмету; таким образом вы знаете, что получаете лучшую возможную информацию».",Russian
"Пародируются также правила Википедии, например, в комиксе xkcd «Wikipedian Protester».",Russian
"Первый документальный фильм о Википедии, озаглавленный «Истина в цифрах: Рассказ о Википедии», был выпущен в 2010 году.",Russian
28 сентября 2007 года итальянский политик Франко Гриллини инициировал парламентский запрос с министром культурных ресурсов и деятельности о необходимости свободы панорамы.,Russian
"Он сказал, что отсутствие такой свободы заставило Википедию, «седьмой сайт, с которым больше всего консультируются», запретить все изображения современных итальянских зданий и искусства, и заявил, что этим был нанесён очень серьёзный ущерб туристической отрасли.",Russian
"16 сентября 2007 года The Washington Post сообщила о том, что Википедия стала координационным центром избирательной кампании в США в 2008 году, заявив: «Введите имя кандидата в Google, и среди первых результатов будет страница Википедии, что делает эти статьи, возможно, такими же важными, как любое объявление в определении кандидата.",Russian
"В настоящее время уже президентские статьи редактируются, расчленяются и обсуждаются бесчисленное множество раз каждый день»[128].",Russian
"В октябре 2007 года статья Reuters, озаглавленная «Страница Википедии — последний символ статуса», сообщила о том, как наличие статьи в Википедии подтверждает статус знаменитости[129].",Russian
Википедия выиграла две крупные награды в мае 2004 года[130].,Russian
Первой была Золотая Ника цифрового сообщества на ежегодном конкурсе Prix Ars Electronica; она была получена вместе с грантом 10 000 € (6588 £; 12 700 $) и предоставлением приглашения присутствовать на PAE Cyberarts Festival в Австрии позднее в том же году.,Russian
Второй была судейская награда Webby в категории «сообщество»[131].,Russian
Википедия была также номинирована на «Лучшую практику» Webby.,Russian
"26 января 2007 года Википедия была также признана четвёртым высшим брендом в рейтинге читателей brandchannel.com, получив 15 % голосов в ответ на вопрос: «Какая марка имела наибольшее влияние на нашу жизнь в 2006 году?»[132].",Russian
"В сентябре 2008 года Википедия получила награду «Квадрига» A Mission of Enlightenment от Werkstatt Deutschland вместе с Борисом Тадичем, Eckart Höfling и Питером Габриэлем.",Russian
Награда была вручена Джимми Уэйлсу Дэвидом Вайнбергером[133].,Russian
"Википедия многократно получала российскую государственную Премию Рунета в нескольких номинациях, прежде всего как «научно-образовательный сайт года» в экспертных голосованиях и как лидер массовых онлайн-голосований («народная десятка»).",Russian
"Хотя Википедия позиционирует себя как вторичный источник информации[134], 2009 и 2018 годы были отмечены использованием материалов из Википедии как с атрибутированием к источникам[135][136], так и без ссылки[137].",Russian
"27 января 2013 года в «Циркуляре малых планет» была сделана запись, согласно которой «Астероид 274301», открытый украинскими астрономами 25 августа 2008 года, был назван «274301 Wikipedia»[138].",Russian
"Открытие было сделано в «Андрушевской астрономической обсерватории», находящейся в Житомирской области[138].",Russian
22 октября 2014 года в польском городе Слубице был открыт первый в мире памятник Википедии[139].,Russian
Учёными из Массачусетского технологического института (MIT) и Питтсбургского университета было проведено исследование об использовании ссылок на статьи из «Википедии» в научных работах.,Russian
"По словам авторов, его результаты свидетельствуют о том, что публикация научных знаний в доступных источниках является экономически эффективным способом продвижения науки, что особенно полезно для тех, кто не имеет доступа к традиционным источникам научной информации[140].",Russian
Время от времени некоторые страны закрывают или угрожают закрыть доступ к Википедии.,Russian
"В том числе: Исследовательский коллектив из Массачусетского технологического института и университета Питтсбурга установил прямую корреляцию между наличием информации в Википедии и вероятностью того, что учёные будут использовать её при работе над научными статьями и монографиями[143].",Russian
"Фонд Викимедиа, компания-владелец и организатор Википедии, поддерживает и другие проекты по созданию свободных публикаций в Интернете: Машинное обучение (англ.",Russian
"machine learning, ML) — класс методов искусственного интеллекта, характерной чертой которых является не прямое решение задачи, а обучение в процессе применения решений множества сходных задач.",Russian
"Для построения таких методов используются средства математической статистики, численных методов, математического анализа, методов оптимизации, теории вероятностей, теории графов, различные техники работы с данными в цифровой форме.",Russian
"Различают два типа обучения: Дедуктивное обучение принято относить к области экспертных систем, поэтому термины машинное обучение и обучение по прецедентам можно считать синонимами.",Russian
Многие методы индуктивного обучения разрабатывались как альтернатива классическим статистическим подходам.,Russian
Многие методы тесно связаны с извлечением информации (англ.,Russian
"information extraction, information retrieval), интеллектуальным анализом данных (data mining).",Russian
"Имеется множество объектов (ситуаций) и множество возможных ответов (откликов, реакций).",Russian
"Существует некоторая зависимость между ответами и объектами, но она неизвестна.",Russian
"Известна только конечная совокупность прецедентов — пар «объект, ответ», называемая обучающей выборкой.",Russian
"На основе этих данных требуется восстановить неявную зависимость, то есть построить алгоритм, способный для любого возможного входного объекта выдать достаточно точный классифицирующий ответ.",Russian
"Эта зависимость не обязательно выражается аналитически, и здесь нейросети реализуют принцип эмпирически формируемого решения.",Russian
"Важной особенностью при этом является способность обучаемой системы к обобщению, то есть к адекватному отклику на данные, выходящие за пределы имеющейся обучающей выборки.",Russian
Для измерения точности ответов вводится оценочный функционал качества.,Russian
Данная постановка является обобщением классических задач аппроксимации функций.,Russian
В классических задачах аппроксимации объектами являются действительные числа или векторы.,Russian
"В реальных прикладных задачах входные данные об объектах могут быть неполными, неточными, нечисловыми, разнородными.",Russian
Эти особенности приводят к большому разнообразию методов машинного обучения.,Russian
"Раздел машинного обучения, с одной стороны, образовался в результате разделения науки о нейросетях на методы обучения сетей и виды топологий их архитектуры, с другой стороны — вобрал в себя методы математической статистики.",Russian
"Указанные ниже способы машинного обучения исходят из случая использования нейросетей, хотя существуют и другие методы, использующие понятие обучающей выборки — например, дискриминантный анализ, оперирующий обобщённой дисперсией и ковариацией наблюдаемой статистики, или байесовские классификаторы.",Russian
"Базовые виды нейросетей, такие как перцептрон и многослойный перцептрон (а также их модификации), могут обучаться как с учителем, так и без учителя, с подкреплением и самоорганизацией.",Russian
Но некоторые нейросети и большинство статистических методов можно отнести только к одному из способов обучения.,Russian
"Поэтому, если нужно классифицировать методы машинного обучения в зависимости от способа обучения, будет некорректным относить нейросети к определенному виду, правильнее было бы типизировать алгоритмы обучения нейронных сетей.",Russian
Целью машинного обучения является частичная или полная автоматизация решения сложных профессиональных задач в самых разных областях человеческой деятельности.,Russian
Машинное обучение имеет широкий спектр приложений[источник не указан 2653 дня]: Сфера применений машинного обучения постоянно расширяется.,Russian
"Повсеместная информатизация приводит к накоплению огромных объёмов данных в науке, производстве, бизнесе, транспорте, здравоохранении.",Russian
"Возникающие при этом задачи прогнозирования, управления и принятия решений часто сводятся к обучению по прецедентам.",Russian
"Раньше, когда таких данных не было, эти задачи либо вообще не ставились, либо решались совершенно другими методами.",Russian
".мы все ищем быстрые способы научиться более свободно говорить по-английски, я знаю, я понимаю, что происходит: всего несколько слов крутятся в нашем мозгу, и нам нужно провести весь этот разговор, используя просто потрясающе круто или эпично, так как насчет нас выучите новые умные английские слова, которые можно использовать в повседневной жизни, и за несколько минут пополните свой словарный запас.",Russian
"Итак, сегодня мы собираемся выучить 10 новых умных слов, их значения, корневые слова и примеры предложений, так что давайте приступим, привет всем, и вы смотрите.",Russian
и в этом видео я дам вам 10 умных слов для повседневного использования и в конце этого видео.,Russian
"Я также дам вам умный совет, как правильно произносить умные слова.",Russian
"один затоплен заболоченный означает утопление или затопление, но затопленный часто используется в контексте работы, как я м завален работой, у меня слишком много работы, я был завален работой всю эту неделю, у меня едва было время дышать, теперь давайте посмотрим на корень этого слова.",Russian
"болото - это кусок заболоченного места, и если кто-то ступит на болото не в том месте, он может легко утонуть, а глагольная форма болота означает тонуть, поэтому вот как вы можете использовать это слово.",Russian
"допустим, у вас много заданий, и у вас приближается тест, и ваши друзья приходят к вам и говорят.",Russian
"эй, почему бы вам не пообщаться с нами, вы можете сказать им, что мне очень жаль, но я завален работой или я завален другими словами, которые вы можете использовать вместо заболоченного, у меня слишком много делать.",Russian
"слишком много на моей тарелке, я тону на работе.",Russian
"Я завален заданиями, умное слово номер два - это уловка-22, теперь я уверен, что ты » Вы слышали это слово перед уловкой-22, означающей невозможную ситуацию, в которой вы не можете сделать одно, пока не сделали другое, и не можете сделать другое, потому что вы не сделали первое.",Russian
"Я запутал вас, поэтому позвольте мне привести несколько примеров.",Russian
"Уловка-22 - это когда вы не получаете работу, не имея опыта работы.",Russian
"но вы не можете получить опыт, пока не получите работу.",Russian
"Уловка-22 была придумана Джозефом Хеллером в его знаменитой одноименной книге «Уловка-22», когда он описывал некоторые противоречивые правила, которые применялись к солдатам во время Второй мировой войны.",Russian
"Другой пример ловушки-22: вам нужен банковский кредит, потому что вам его не хватает.",Russian
"денег, но вы не получите этот банковский кредит, если не докажете банку, что у вас достаточно денег, поэтому в следующий раз, когда вы попадете в сложную ситуацию, помните.",Russian
использовать слово уловка-22.,Russian
"и получите эти восхищенные взгляды от своих друзей другими словами, которые вы можете использовать вместо уловки-22: парадокс или умное слово дилемма.",Russian
"номер три - учтивый учтивый обходительный - значит быть утонченным, быть вежливым, уравновешенным, холодным и. Хорошо воспитанный слово учтивый имеет несколько разных источников, но одно очень интересное происхождение слова - это пример приятного или сладкого вкуса.",Russian
"он такой уравновешенный и учтивый, особенно перед дамами, или Барак Обама такой учтивый и отполированный, теперь помните, когда вы будете на вечеринке в следующий раз, и увидите этого человека, который таков.",Russian
"воспитанный, культурный и утонченный.",Russian
"не забудьте сказать эй, кто этот учтивый парень прямо в углу, использование этого слова мгновенно пополнит ваш словарный запас.",Russian
"очень учтиво, так умно, слово номер четыре ужасно ужасно слово зверский означает что-то действительно плохое, ужасное, ужасное, жестокое, ужасное, оскорбительное, ужасное, имеет латинский корень, который называется., что означает страх жестокий или ужасный.",Russian
или заключенные лечатся.,Russian
"зверски иногда в тюрьмах слово «зверство» также используется в повседневной жизни, чтобы говорить о каких-то обычных проступках, и вы хотите преувеличить.",Russian
"например, его манеры за столом были ужасными, или ее чувство одежды настолько ужасно, или его грамматика ужасна.",Russian
"так что в следующий раз, когда вы услышите об ужасном действии в новостях, не забудьте об этом.",Russian
"Заметьте и скажите, что это чудовищный поступок.",Russian
"Умное слово номер 5 - громадно, громадно, громадно, значит удивительно удивительно.",Russian
"теперь мы часто используем здесь слово ""круто"" "" Еще одно слово, которое вы можете использовать вместо слова «потрясающе потрясающе».",Russian
"Например, сегодня я получил потрясающий балл на моем тесте, что означает, что я получил очень высокий балл или.",Russian
"У меня почти высшая оценка - слово «громадный» имеет классические латинские корни от слова, которое означает.",Russian
"«быть ошеломленным настолько потрясающе» используется для описания чего-то потрясающе хорошего, например, она потрясающе выглядит в этом платье, или какой потрясающий вид с этого балкона, или я читаю эту потрясающую книгу, от которой не могу оторваться.",Russian
сказать.,Russian
"ваши друзья, это потрясающий канал для студентов, и некоторые другие слова, которые вы можете использовать вместо огромных, невероятно фантастические или исключительно хорошие.",Russian
"Хорошо, поэтому, прежде чем мы продолжим сбалансированные пять слов в этом видео, не забудьте оставить комментарий под этим видео.",Russian
"сказать мне, какое из этих десяти слов было вашим любимым умным словом номер шесть в исправлении в исправлении означает оказаться в неприятной ситуации, например, мальчик, я в затруднительном положении, потому что у меня есть планы на это с двумя разными друзьями вечер.",Russian
"Я потерял телефон, и я в затруднительном положении, или наш автобус сломался этим утром, и я в затруднительном положении, мой друг всегда обращается ко мне за помощью, когда он в затруднительном положении, а когда дела идут хорошо, он забывает о нем.",Russian
"я, так что в следующий раз, когда вы получите домашнее задание по математике в школе, например, и если вы оставили свой учебник по математике в школе, вы можете сказать своим друзьям, что вы находитесь в настоящем исправлении, теперь вы можете подумать, что слово исправить есть чем заняться с ремонтом чего-то.",Russian
"но нет в исправлении означает попасть в неприятную ситуацию, другие слова, которые вы можете использовать вместо исправления, - это я в супе или я Я в беспорядке, или я беспокоюсь, или просто я нахожусь в затруднительном положении.",Russian
Умное слово номер 7 - это беспорядок.,Russian
flummox означает запутать кого-то.,Russian
"настолько, что они забывают, что делать, теперь запутаться - это часто употребляемое слово, поэтому вместо этого почему бы вам не использовать фламмокс, например, мальчик выглядел совершенно сбитым с толку, когда учитель задал ему вопрос в классе или собака выглядела смущенной при собственном отражении в зеркале или турист был сбит с толку разными обычаями.",Russian
"он столкнулся во время своих путешествий или во время интервью, когда ее спросили, почему мы должны нанять вас, она выглядела совершенно растерянной, поэтому в следующий раз, если вы запутаетесь в каких-либо вопросах, например, на экзамене, то вы.",Russian
"всегда могу сказать это, потому что я не знал Я очень хорошо подготовился к экзамену.",Russian
Я был сбит с толку некоторыми вопросами.,Russian
"Другие слова, которые вы можете использовать вместо сбитых с толку, озадачены, озадачены или озадачены.",Russian
Умное слово номер восемь - это рандеву рандеву рандеву.,Russian
"- это очень французский способ сказать встреча или свидание, например, у меня свидание с друзьями за обедом в субботу или я планирую встретиться с друзьями в торговом центре для просмотра фильмов.",Russian
Рандеву может использоваться как существительное или как глагол Например.,Russian
"Сегодня вечером у меня встреча с друзьями, или завтра я собираюсь встретиться с друзьями.",Russian
"во Франции раньше рандеву использовалось армией для обозначения места встречи войск, теперь в слове «рандеву» есть что-то немного захватывающее и таинственное, так что пока вы можете использовать рандеву для любой встречи.",Russian
"в общем но победил Это очень уместно для официальной встречи, поэтому, если у вас есть свидание, вы, возможно, определенно можете назвать это умное слово «рандеву номер 9» тупым тупым тупым словом - оскорблением, которое вы использовали бы, когда пытаетесь назвать кого-то тупым или неразумным.",Russian
"или тупоумный теперь вы слышали слово «тупой» в геометрии тупой угол и острый угол, поэтому тупой угол - это угол больше 90 градусов, но меньше 180 градусов.",Russian
"и острый угол - это острый угол менее 90 градусов, такой острый, как это слово используется для обозначения острого и, следовательно, также мысленно острого и тупого, обозначает тупой и, следовательно, также немного медленный в уме, поэтому примеры предложений с тупыми словами - это мужчина был настолько тупым, что выдал свой пароль поддельному абоненту или тупому ребенку.",Russian
не смог.,Russian
"Чтобы ответить на один-единственный вопрос теста, или тупому мужчине было трудно понять даже базовые инструкции.",Russian
"Теперь предположим, что в вашей повседневной жизни ваш парень или ваша девушка сердится на вас, а вы не знаете, почему, поэтому можете.",Russian
"скажите им, может быть, я тупой, но я не знаю, почему вы так расстроены, умное слово номер 10 - вялый, вялый, вялый означает двигаться медленно, чтобы двигаться в более медленном темпе.",Russian
"чем обычно, чтобы выглядеть немного уставшим и отсутствующим.",Russian
В примере с энергией тяжелый обед делает меня очень вялым днем.,Russian
"Оно происходит от слова, которое означает медлительный человек, а слизняк - это животное, которое движется очень медленно, как примеры улиток.",Russian
в этом году экономика была очень вялой или матч продолжился после вялого начала.,Russian
"или бизнес в этом квартале был вялым, вы можете использовать это в своей повседневной жизни, если однажды вы чувствуете себя очень усталым, вы можете сказать об этом своей маме или сказать.",Russian
"твои друзья, я чувствую себя очень вялым.",Russian
"сегодня я мог бы употребить энергетический напиток, другие слова, которые вы можете использовать вместо вялости, могут быть вялыми или волочить ноги, так что это были 10 умных слов и раньше.",Russian
"Я даю вам этот секретный совет, чтобы звучать очень бегло.",Russian
"Я хочу напомнить вам, что в случае, если вы ищете умные слова для телефонного звонка, я помещаю ссылку на видео.",Russian
"вниз в поле описания для этого, и теперь секретный совет, секретный совет, чтобы звучать свободно, - это использовать не более одного умного слова или предложения, которое я иногда знаю.",Russian
"мы очень взволнованы, потому что.",Russian
